Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.17268337611375,IEA STEPS,2050,EE clean,EUR/ton steel
BR,583.0361460409727,IEA STEPS,2050,EE clean,EUR/ton steel
CA,529.5301654199327,IEA STEPS,2050,EE clean,EUR/ton steel
CH,1422.6536799266728,IEA STEPS,2050,EE clean,EUR/ton steel
CN,251.08150790273902,IEA STEPS,2050,EE clean,EUR/ton steel
EU,476.4545460769777,IEA STEPS,2050,EE clean,EUR/ton steel
GB,376.73801488206885,IEA STEPS,2050,EE clean,EUR/ton steel
ID,384.4313993877481,IEA STEPS,2050,EE clean,EUR/ton steel
IN,222.5799238048223,IEA STEPS,2050,EE clean,EUR/ton steel
JP,506.2153867351645,IEA STEPS,2050,EE clean,EUR/ton steel
KR,376.12350740993617,IEA STEPS,2050,EE clean,EUR/ton steel
MX,499.7040577605339,IEA STEPS,2050,EE clean,EUR/ton steel
NO,664.0313392266306,IEA STEPS,2050,EE clean,EUR/ton steel
RU,355.52270105940505,IEA STEPS,2050,EE clean,EUR/ton steel
TR,320.8516803225621,IEA STEPS,2050,EE clean,EUR/ton steel
US,676.0773593026008,IEA STEPS,2050,EE clean,EUR/ton steel
WA,681.5000785093365,IEA STEPS,2050,EE clean,EUR/ton steel
WE,184.46761008225474,IEA STEPS,2050,EE clean,EUR/ton steel
WF,529.9062069842718,IEA STEPS,2050,EE clean,EUR/ton steel
WL,1182.8748039567083,IEA STEPS,2050,EE clean,EUR/ton steel
WM,625.2722067954905,IEA STEPS,2050,EE clean,EUR/ton steel
ZA,234.37382414698158,IEA STEPS,2050,EE clean,EUR/ton steel
